"","Year","Turnout","Ideology","No.Identification","Ideology.Folded","Conservative","Liberal","Liberal.Thermometer","Conservative.Thermometer","Republican.Thermometer","Education","Party.ID","PartyID.Folded","Household.Income","Age","Female","Race","Black","Region","Union.Member","Church.Attendance","Married","Social.Class"
"36788",1992,0,0,1,0,0,0,40,60,50,NA,3,1,2,67,1,1,0,2,0,1,0,4
"36789",1992,1,0,1,0,0,0,50,60,60,4,2,2,4,32,1,1,0,2,0,1,1,4
"36790",1992,1,1,0,1,1,0,50,50,70,6,6,2,4,40,1,1,0,2,0,3,1,6
"36791",1992,1,0,0,0,0,0,40,60,85,3,7,3,4,63,0,1,0,2,0,1,0,1
"36792",1992,0,1,0,1,1,0,60,70,70,3,3,1,2,54,0,1,0,2,0,5,0,1
"36793",1992,1,-2,0,2,0,1,60,NA,0,3,1,3,3,36,1,2,1,2,0,5,0,NA
"36794",1992,1,-2,0,2,0,1,85,0,15,3,1,3,3,35,0,1,0,2,1,5,1,3
"36795",1992,1,0,1,0,0,0,50,60,50,4,4,0,2,64,0,1,0,3,0,1,1,3
"36796",1992,0,0,1,0,0,0,50,60,70,2,1,3,2,55,1,1,0,3,0,3,0,1
"36797",1992,1,-3,0,3,0,1,70,40,15,1,1,3,1,83,0,2,1,3,0,2,0,1
"36798",1992,0,0,1,0,0,0,50,50,50,4,4,0,4,41,0,1,0,3,0,2,1,1
"36799",1992,0,0,1,0,0,0,NA,NA,70,2,2,2,2,65,0,2,1,3,0,4,0,4
"36800",1992,1,0,0,0,0,0,85,50,0,4,1,3,3,60,0,3,0,3,0,2,1,1
"36801",1992,1,0,0,0,0,0,50,50,40,3,3,1,2,21,1,1,0,3,0,2,1,1
"36802",1992,1,-1,0,1,0,1,50,50,50,4,4,0,4,26,1,1,0,3,0,1,1,2
"36803",1992,1,0,1,0,0,0,50,50,70,3,6,2,1,83,1,1,0,2,0,5,0,4
"36804",1992,1,0,1,0,0,0,50,50,50,4,2,2,3,37,1,1,0,2,1,2,1,2
"36805",1992,1,0,0,0,0,0,60,30,30,3,1,3,3,66,1,1,0,4,0,4,0,4
"36806",1992,1,-1,0,1,0,1,NA,NA,15,1,1,3,1,70,0,2,1,3,0,3,1,1
"36807",1992,1,-2,0,2,0,1,85,30,40,3,1,3,3,33,1,1,0,1,1,1,1,1
"36808",1992,0,-1,0,1,0,1,50,60,50,2,1,3,3,84,0,1,0,2,0,5,1,1
"36809",1992,1,0,0,0,0,0,50,NA,15,3,1,3,NA,81,1,1,0,2,0,1,0,1
"36810",1992,1,0,0,0,0,0,40,60,50,3,3,1,3,68,1,1,0,4,0,5,1,4
"36811",1992,1,0,0,0,0,0,30,70,70,6,6,2,4,43,0,1,0,4,0,1,1,4
"36812",1992,1,3,0,3,1,0,30,80,60,5,5,1,3,62,0,1,0,4,0,5,0,4
"36813",1992,1,1,0,1,1,0,70,80,60,5,6,2,4,28,1,1,0,4,1,5,0,4
"36814",1992,1,1,0,1,1,0,60,40,70,4,6,2,4,28,1,1,0,4,1,5,1,1
"36815",1992,1,0,0,0,0,0,60,40,50,5,3,1,4,40,0,1,0,2,0,4,0,4
"36816",1992,1,0,0,0,0,0,60,50,50,5,3,1,3,29,1,1,0,2,0,3,0,2
"36817",1992,1,1,0,1,1,0,50,50,40,3,2,2,2,29,0,1,0,2,1,5,0,1
"36818",1992,0,0,1,0,0,0,30,50,97,3,6,2,1,36,1,2,1,3,0,3,0,4
"36819",1992,1,-1,0,1,0,1,50,85,15,4,1,3,3,39,1,1,0,2,0,3,0,1
"36820",1992,1,1,0,1,1,0,60,50,40,4,1,3,3,29,0,1,0,3,0,3,0,1
"36821",1992,1,-1,0,1,0,1,80,50,30,6,1,3,2,40,1,1,0,3,0,5,0,4
"36822",1992,1,1,0,1,1,0,15,40,30,6,2,2,4,46,0,1,0,3,0,1,1,4
"36823",1992,1,0,1,0,0,0,15,50,85,3,6,2,3,50,0,1,0,2,0,1,1,1
"36824",1992,1,2,0,2,1,0,30,70,60,5,7,3,4,66,0,1,0,2,0,1,1,4
"36825",1992,1,2,0,2,1,0,85,60,50,3,3,1,1,61,1,1,0,1,0,1,0,1
"36826",1992,0,-1,0,1,0,1,60,60,30,3,2,2,NA,64,1,1,0,2,0,5,0,4
"36827",1992,1,0,0,0,0,0,15,60,50,4,3,1,3,72,1,1,0,3,0,5,0,1
"36828",1992,0,0,1,0,0,0,70,50,50,2,3,1,2,39,1,2,1,3,0,3,0,4
"36829",1992,1,0,1,0,0,0,NA,50,40,5,3,1,4,68,0,2,1,3,0,2,1,1
"36830",1992,1,0,1,0,0,0,50,50,60,3,2,2,1,86,1,1,0,2,0,5,0,4
"36831",1992,0,0,1,0,0,0,60,60,50,2,4,0,3,39,0,1,0,2,0,5,1,1
"36832",1992,0,0,0,0,0,0,0,50,0,2,1,3,2,72,0,1,0,1,0,5,0,3
"36833",1992,1,0,0,0,0,0,50,40,40,3,2,2,5,56,1,1,0,1,1,2,0,4
"36834",1992,1,0,1,0,0,0,50,50,50,4,2,2,4,29,0,1,0,4,0,5,0,1
